dateTime,value,userid
2022-12-25,0,BD6RKR
2022-12-26,0,BD6RKR
2022-12-27,0,BD6RKR
2022-12-28,62,BD6RKR
2022-12-29,0,BD6RKR
2022-12-30,0,BD6RKR
2022-12-31,0,BD6RKR
2023-01-01,0,BD6RKR
2023-01-02,0,BD6RKR
2023-01-03,0,BD6RKR
2023-01-04,0,BD6RKR
2023-01-05,0,BD6RKR
2023-01-06,0,BD6RKR
2023-01-07,0,BD6RKR
2023-01-08,0,BD6RKR
2023-01-09,0,BD6RKR
2023-01-10,0,BD6RKR
2023-01-11,0,BD6RKR
2023-01-12,265,BD6RKR
2023-01-13,0,BD6RKR
2023-01-14,0,BD6RKR
2023-01-15,0,BD6RKR
2023-01-16,0,BD6RKR
2023-01-17,1633,BD6RKR
2023-01-18,3188,BD6RKR
2023-01-19,2900,BD6RKR
2023-01-20,1860,BD6RKR
2023-01-21,0,BD6RKR
2023-01-22,0,BD6RKR
2023-01-23,0,BD6RKR
2023-01-24,0,BD6RKR
