dateTime,value,userid
2022-12-25,"{'customHeartRateZones': [], 'heartRateZones': [{'max': 99, 'min': 30, 'name': 'Out of Range'}, {'max': 139, 'min': 99, 'name': 'Fat Burn'}, {'max': 169, 'min': 139, 'name': 'Cardio'}, {'max': 220, 'min': 169, 'name': 'Peak'}]}",BD6RKR
2022-12-26,"{'customHeartRateZones': [], 'heartRateZones': [{'max': 99, 'min': 30, 'name': 'Out of Range'}, {'max': 139, 'min': 99, 'name': 'Fat Burn'}, {'max': 169, 'min': 139, 'name': 'Cardio'}, {'max': 220, 'min': 169, 'name': 'Peak'}]}",BD6RKR
2022-12-27,"{'customHeartRateZones': [], 'heartRateZones': [{'max': 99, 'min': 30, 'name': 'Out of Range'}, {'max': 139, 'min': 99, 'name': 'Fat Burn'}, {'max': 169, 'min': 139, 'name': 'Cardio'}, {'max': 220, 'min': 169, 'name': 'Peak'}]}",BD6RKR
2022-12-28,"{'customHeartRateZones': [], 'heartRateZones': [{'max': 99, 'min': 30, 'name': 'Out of Range'}, {'max': 139, 'min': 99, 'name': 'Fat Burn'}, {'max': 169, 'min': 139, 'name': 'Cardio'}, {'max': 220, 'min': 169, 'name': 'Peak'}]}",BD6RKR
2022-12-29,"{'customHeartRateZones': [], 'heartRateZones': [{'max': 99, 'min': 30, 'name': 'Out of Range'}, {'max': 139, 'min': 99, 'name': 'Fat Burn'}, {'max': 169, 'min': 139, 'name': 'Cardio'}, {'max': 220, 'min': 169, 'name': 'Peak'}]}",BD6RKR
2022-12-30,"{'customHeartRateZones': [], 'heartRateZones': [{'max': 99, 'min': 30, 'name': 'Out of Range'}, {'max': 139, 'min': 99, 'name': 'Fat Burn'}, {'max': 169, 'min': 139, 'name': 'Cardio'}, {'max': 220, 'min': 169, 'name': 'Peak'}]}",BD6RKR
2022-12-31,"{'customHeartRateZones': [], 'heartRateZones': [{'max': 99, 'min': 30, 'name': 'Out of Range'}, {'max': 139, 'min': 99, 'name': 'Fat Burn'}, {'max': 169, 'min': 139, 'name': 'Cardio'}, {'max': 220, 'min': 169, 'name': 'Peak'}]}",BD6RKR
2023-01-01,"{'customHeartRateZones': [], 'heartRateZones': [{'max': 99, 'min': 30, 'name': 'Out of Range'}, {'max': 139, 'min': 99, 'name': 'Fat Burn'}, {'max': 169, 'min': 139, 'name': 'Cardio'}, {'max': 220, 'min': 169, 'name': 'Peak'}]}",BD6RKR
2023-01-02,"{'customHeartRateZones': [], 'heartRateZones': [{'max': 99, 'min': 30, 'name': 'Out of Range'}, {'max': 139, 'min': 99, 'name': 'Fat Burn'}, {'max': 169, 'min': 139, 'name': 'Cardio'}, {'max': 220, 'min': 169, 'name': 'Peak'}]}",BD6RKR
2023-01-03,"{'customHeartRateZones': [], 'heartRateZones': [{'max': 99, 'min': 30, 'name': 'Out of Range'}, {'max': 139, 'min': 99, 'name': 'Fat Burn'}, {'max': 169, 'min': 139, 'name': 'Cardio'}, {'max': 220, 'min': 169, 'name': 'Peak'}]}",BD6RKR
